Country,Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Belarus,Switzerland,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Monaco,Moldova,Montenegro,Macedonia,Netherlands,Norway,Poland,Portugal,Serbia,Russia,Romania,Sweden,Slovenia,Slovakia,San Marino,The Vatican,Türkiye / Turkey,United Kingdom,Ukraine,Correct,Total,Percent
Andorra,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,42,53,0.79
Albania,0,25,0,1,0,5,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,25,50,0.5
Austria,0,0,55,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,55,64,0.86
Bosnia and Herzegovina,0,2,0,30,0,3,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,2,2,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30,57,0.53
Belgium,0,0,0,0,51,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,51,59,0.86
Bulgaria,0,0,0,0,0,37,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,9,0,1,1,0,0,0,0,2,37,61,0.61
Belarus,0,1,0,1,0,0,43,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,43,59,0.73
Switzerland,0,0,2,0,0,1,1,55,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,0.83
Cyprus,0,2,0,1,0,1,0,0,38,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,38,56,0.68
Czechia,0,0,0,2,0,1,2,0,0,34,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,34,49,0.69
Germany,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,54,0.96
Denmark,0,0,0,0,1,0,0,0,0,0,1,53,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,53,63,0.84
Estonia,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,1,0,0,1,0,0,7,0,6,0,0,3,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,33,57,0.58
Spain,0,0,0,0,0,0,0,0,0,0,1,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,60,0.98
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,54,58,0.93
France,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,46,0.98
Greece,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,57,62,0.92
Croatia,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,41,52,0.79
Hungary,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,1,0,47,62,0.76
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,59,61,0.97
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,1.0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,1.0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,1,12,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,63,0.62
Lithuania,0,1,0,0,1,1,2,0,0,0,0,0,5,0,1,0,0,1,1,0,0,0,0,32,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,32,61,0.52
Luxembourg,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,56,0.8
Latvia,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,9,0,30,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,30,54,0.56
Malta,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,46,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,60,0.77
Monaco,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,42,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,42,56,0.75
Moldova,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,3,36,1,5,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,36,60,0.6
Montenegro,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,31,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,31,51,0.61
Macedonia,1,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,34,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,34,58,0.59
