State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Correct,Total,Percent
Alabama,29,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,29,53,0.55
Alaska,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,46,50,0.92
Arizona,0,0,35,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,5,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,35,57,0.61
Arkansas,0,0,0,32,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,3,1,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,32,50,0.64
California,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37,0.97
Colorado,1,0,0,0,0,30,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,2,0,1,0,0,0,4,30,50,0.6
Connecticut,1,0,0,0,0,0,31,1,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,1,2,0,0,1,0,3,1,2,0,1,0,2,1,0,1,0,0,1,0,0,0,1,0,0,31,58,0.53
Delaware,1,0,1,0,0,0,3,25,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,4,1,1,1,0,2,0,0,0,1,0,2,25,52,0.48
Florida,0,0,0,0,2,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,45,0.96
Georgia,0,0,0,2,0,2,0,0,0,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,38,53,0.72
Hawaii,0,4,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,0.91
Idaho,0,0,1,0,0,1,0,0,0,0,0,26,1,0,2,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,26,44,0.59
Illinois,0,0,0,0,0,2,0,0,0,0,0,0,38,4,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,38,57,0.67
Indiana,0,0,0,0,1,0,0,0,0,0,0,1,4,27,3,1,1,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,49,0.55
Iowa,0,0,0,1,0,0,0,0,0,0,0,3,2,1,27,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,1,3,27,53,0.51
Kansas,1,0,1,3,0,1,0,0,0,0,0,1,0,1,1,38,0,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38,60,0.63
Kentucky,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,38,1,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,38,55,0.69
Louisiana,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,45,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,61,0.74
Maine,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,38,0,0,1,0,0,1,0,1,3,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,38,56,0.68
Maryland,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,37,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,37,52,0.71
Massachusetts,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,1,0,24,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,2,0,1,1,1,0,0,1,0,0,1,0,24,46,0.52
Michigan,0,0,1,0,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,48,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,48,65,0.74
Minnesota,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,34,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,34,55,0.62
Mississippi,7,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,33,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,33,57,0.58
Missouri,1,0,0,2,0,1,0,0,0,0,0,0,1,0,2,4,1,0,0,0,1,0,0,5,29,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,50,0.58
Montana,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,32,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,32,46,0.7
Nebraska,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,30,48,0.62
Nevada,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,35,49,0.71
New Hampshire,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,36,2,0,1,1,0,2,0,0,0,1,0,0,0,0,1,6,0,0,0,0,1,36,60,0.6
New Jersey,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,38,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,38,50,0.76
New Mexico,0,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,59,0.73
New York,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,7,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37,58,0.64
North Carolina,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,36,1,0,0,2,0,0,0,1,0,0,1,0,5,1,0,1,0,36,59,0.61
North Dakota,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,48,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,2,48,64,0.75
Ohio,1,0,0,1,0,3,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,27,41,0.66
Oklahoma,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,33,0,0,0,0,1,0,1,1,0,0,1,0,0,0,33,48,0.69
Oregon,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,1,0,0,3,0,0,2,0,0,1,35,50,0.7
Pennsylvania,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,28,0,0,1,0,0,0,0,1,1,2,0,3,28,49,0.57
Rhode Island,0,2,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1,38,62,0.61
South Carolina,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,37,53,0.7
South Dakota,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,38,1,2,0,0,0,0,0,0,1,38,53,0.72
Tennessee,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,36,0,1,0,0,0,0,0,0,36,53,0.68
Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,55,59,0.93
Utah,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,37,48,0.77
Vermont,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,2,0,1,5,0,0,1,0,0,1,1,1,1,2,0,2,0,0,0,28,1,2,0,1,0,28,55,0.51
Virginia,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,39,0,1,0,0,39,55,0.71
Washington,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,47,54,0.87
West Virginia,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,3,0,30,0,0,30,47,0.64
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,2,0,0,0,0,0,4,4,0,0,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,30,1,30,57,0.53
Wyoming,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,33,33,53,0.62
