State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Correct,Total,Percent
Alabama,23,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,2,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,23,48,0.48
Alaska,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,46,52,0.88
Arizona,0,0,25,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,3,1,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,25,46,0.54
Arkansas,0,0,0,26,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,26,46,0.57
California,0,1,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,0.94
Colorado,1,0,0,0,0,27,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,4,27,49,0.55
Connecticut,1,0,0,0,0,0,24,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,1,2,0,0,1,0,3,1,2,0,1,0,3,1,0,2,0,0,1,0,0,0,1,0,0,24,51,0.47
Delaware,1,0,1,0,0,0,2,19,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,4,1,2,1,0,2,0,0,0,1,0,2,19,48,0.4
Florida,0,0,0,0,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,0.93
Georgia,0,0,1,2,0,2,0,0,0,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,29,46,0.63
Hawaii,0,5,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,47,0.87
Idaho,0,0,1,0,0,1,0,0,1,0,0,21,0,0,2,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,1,21,42,0.5
Illinois,0,0,1,0,0,2,0,0,0,0,0,0,32,3,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,32,55,0.58
Indiana,0,0,0,0,1,0,0,0,0,0,0,1,4,21,2,1,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,21,42,0.5
Iowa,0,0,0,1,0,0,0,0,0,0,0,3,2,1,22,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,3,22,47,0.47
Kansas,1,0,1,3,0,1,0,0,0,0,0,1,0,1,1,31,1,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,53,0.58
Kentucky,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,34,1,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,34,52,0.65
Louisiana,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,31,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,49,0.63
Maine,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,28,0,0,1,1,0,1,0,1,3,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,28,50,0.56
Maryland,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,27,0,0,0,1,1,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,27,45,0.6
Massachusetts,0,0,1,1,0,0,4,1,0,0,0,1,0,0,0,1,1,0,1,0,17,0,1,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,2,0,1,1,1,1,0,1,0,0,1,0,17,43,0.4
Michigan,0,0,1,0,0,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,0,44,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,44,63,0.7
Minnesota,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,26,0,3,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,26,49,0.53
Mississippi,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,25,52,0.48
Missouri,1,0,0,2,0,2,0,0,0,1,0,0,2,0,3,4,1,0,0,0,1,0,0,3,23,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,47,0.49
Montana,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,25,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,25,41,0.61
Nebraska,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,22,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,22,40,0.55
Nevada,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,29,44,0.66
New Hampshire,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,31,2,0,1,1,0,2,0,0,1,1,0,0,0,0,1,5,0,0,0,0,1,31,56,0.55
New Jersey,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,34,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,34,48,0.71
New Mexico,0,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,56,0.7
New York,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,8,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,29,53,0.55
