Country,Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Belarus,Switzerland,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Monaco,Moldova,Montenegro,Macedonia,Netherlands,Norway,Poland,Portugal,Serbia,Russia,Romania,Sweden,Slovenia,Slovakia,San Marino,The Vatican,Türkiye / Turkey,United Kingdom,Ukraine,Correct,Total,Percent
Andorra,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0.84
Albania,0,8,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,17,0.47
Austria,0,0,18,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18,26,0.69
Bosnia and Herzegovina,0,0,0,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,26,0.46
Belgium,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,20,0.7
Bulgaria,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,13,22,0.59
Belarus,0,1,0,1,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,16,26,0.62
Switzerland,0,0,1,0,0,1,1,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0.78
Cyprus,0,2,0,1,0,1,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,24,0.54
Czechia,0,0,0,1,0,1,1,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,13,24,0.54
Germany,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0.92
Denmark,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0.81
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,27,0.59
Spain,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0.96
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,21,0.9
France,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0.95
Greece,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23,27,0.85
Croatia,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,14,22,0.64
Hungary,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,12,22,0.55
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,22,0.91
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,1.0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,1.0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,5,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,27,0.48
