0,Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Belarus,Switzerland,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Monaco,Moldova,Montenegro,Macedonia,Netherlands,Norway,Poland,Portugal,Serbia,Russia,Romania,Sweden,Slovenia,Slovakia,San Marino,The Vatican,Türkiye / Turkey,United Kingdom,Ukraine,Correct,Sum,Percent,Cluster
Andorra,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,38,45,0.84,5
Albania,0,21,0,1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,21,39,0.54,1
Austria,0,0,48,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,48,56,0.86,5
Bosnia and Herzegovina,0,2,0,24,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,2,5,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,24,51,0.47,1
Belgium,0,0,0,0,46,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,53,0.87,0
Bulgaria,0,0,0,0,1,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,0,0,1,0,0,0,0,1,34,51,0.67,6
Belarus,0,1,0,1,0,0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,46,59,0.78,4
Switzerland,0,0,2,0,0,1,1,51,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,61,0.84,5
Cyprus,0,2,0,1,0,1,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,55,0.73,7
Czechia,0,0,0,1,0,1,1,0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,32,44,0.73,0
